k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
4,"['Avg_Rainfall_30day', 'R1d', 'R3d', 'R30d']",0.7301324503311258,0.7026239067055393,0.7980132450331126,0.7472868217054264,0.8127932985395379,0.1860590463576159,,2.9305
4,"['Avg_Rainfall_30day', 'R1d', 'R3d', 'API_14']",0.7417218543046358,0.728125,0.7715231788079471,0.7491961414790996,0.8313341520108767,0.16814598013245033,,3.1045
4,"['Avg_Rainfall_30day', 'R1d', 'R7d', 'R30d']",0.7218543046357616,0.695906432748538,0.7880794701986755,0.7391304347826086,0.8245965089250471,0.17822148344370864,,2.9757
4,"['Avg_Rainfall_30day', 'R1d', 'R7d', 'API_14']",0.7235099337748344,0.7051671732522796,0.7682119205298014,0.7353407290015848,0.8335489671505637,0.16867650331125827,,2.5539
4,"['Avg_Rainfall_30day', 'R1d', 'R30d', 'API_14']",0.7450331125827815,0.7269938650306749,0.7847682119205298,0.7547770700636943,0.838477479057936,0.16955643708609272,,2.567
4,"['Avg_Rainfall_30day', 'R3d', 'R7d', 'R30d']",0.7301324503311258,0.7112462006079028,0.7748344370860927,0.7416798732171157,0.8255394500241218,0.1757429735099338,,2.5474
4,"['Avg_Rainfall_30day', 'R3d', 'R7d', 'API_14']",0.7384105960264901,0.7292993630573248,0.7582781456953642,0.7435064935064936,0.8328965834831805,0.1650735629139073,,2.5871
4,"['Avg_Rainfall_30day', 'R3d', 'R30d', 'API_14']",0.7284768211920529,0.7090909090909091,0.7748344370860927,0.740506329113924,0.8384829612736284,0.16811367549668874,,2.6667
4,"['Avg_Rainfall_30day', 'R7d', 'R30d', 'API_14']",0.7334437086092715,0.7129909365558912,0.7814569536423841,0.7456556082148499,0.8337901846410245,0.1732894569536424,,2.5968
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d']",0.7599337748344371,0.752411575562701,0.7748344370860927,0.763458401305057,0.8126617253629227,0.1810167880794702,,2.656
