index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
193,14.178999900817873,0.1169999986886978,0.0,0.1169999986886978,14.178999900817873,0.1169999986886978,0.0,0.1169999986886978,0.2710183799332371,0.06015152080968047,0.042960073479454394,0.06838454859921063,0.5014854771784234,0.44251452282158255,0.44251452282158255,0.944,1,1,1,2008-10-30 00:00:00,2008-10-30,,270295.457400002,209747.645,Buncombe,{250DD2EF-27D3-411F-853B-C6FBDFD3749A},58781.0,Landslide,2005_2010,1672006.0,EDE
196,28.5939998626709,26.082000732421875,0.0,26.082000732421875,28.5939998626709,26.082000732421875,0.0,26.082000732421875,-0.13719457975186253,-0.14299882208434947,0.007524303595942547,0.02318362106185479,0.5014854771784234,-0.24948547717841468,0.3109013264940093,0.252,0,0,0,2020-12-07 01:37:36,,2020-12-07 01:37:36,299059.3642533368,231153.7694129588,,,,NonLandslide,2017_2021,1672027.0,FRA
208,49.71799850463867,6.10699987411499,6.10699987411499,6.640999853610992,49.71799850463867,6.10699987411499,6.10699987411499,6.640999853610992,0.0658515119170909,0.20378635762336048,-0.010283591640791664,0.13116024492193135,0.5014854771784234,0.39051452282159105,0.4110817061031744,0.892,1,1,1,2013-07-02 00:00:00,2013-07-02 00:00:00,,280634.130680968,212007.546965286,Buncombe,{5078FB7E-A157-4488-98DE-D5BB72E77F22},61342.0,Landslide,2011_2016,1672016.0,EWE
214,66.88999938964844,11.303999900817873,11.303999900817873,17.111999988555908,66.88999938964844,11.303999900817873,11.303999900817873,17.111999988555908,-0.0692259104817625,-0.05079401091442359,-0.0794894269836437,-0.06597612879857681,0.5014854771784234,-0.26548547717840665,0.26548547717840665,0.236,0,1,1,2008-09-12 00:00:00,2008-09-12,,289431.754600003,217625.019200001,Buncombe,{EBE86D25-4D58-4E8D-9246-064698439AE1},60598.0,Landslide,2005_2010,1672016.0,EWE
216,124.1709976196289,21.608999252319336,10.354999542236328,32.642998814582825,124.1709976196289,21.608999252319336,10.354999542236328,32.642998814582825,0.059267694591897215,-0.07160375334730498,-0.06596064613070252,-0.063188772292294,0.5014854771784234,-0.1414854771784043,0.2600208663621987,0.36,0,0,0,2019-05-07 22:32:40,,2019-05-07 22:32:40,287855.1961629901,194376.6811604608,,,,NonLandslide,2017_2021,1672107.0,UD
224,36.255001068115234,2.8580000400543213,0.0,2.8580000400543213,36.255001068115234,2.8580000400543213,0.0,2.8580000400543213,-0.09195247378894608,0.08539101963754521,0.003408382800172459,0.13966759417281227,0.5014854771784234,0.13651452282158386,0.32041947039947605,0.638,1,0,0,2018-11-01 02:56:54,,2018-11-01 02:56:54,289565.7030422309,228141.9769110301,,,,NonLandslide,2017_2021,1672087.0,TAD
227,14.21500015258789,0.0,0.0,0.0,14.21500015258789,0.0,0.0,0.0,0.05039737687356839,-0.052171656659276325,0.02338492562840224,-0.053096123021113294,0.5014854771784234,-0.031485477178418986,0.17905008218236027,0.47,0,0,0,2018-07-31 03:19:01,,2018-07-31 03:19:01,288964.15693009633,210358.52904694265,,,,NonLandslide,2017_2021,1672007.0,EDF
229,76.89299774169922,5.423999786376953,5.423999786376953,5.423999786376953,76.89299774169922,5.423999786376953,5.423999786376953,5.423999786376953,-0.08643521524164416,0.03810278408685517,-0.16374744061957572,-0.025405605404048646,0.5014854771784234,-0.23748547717841337,0.31369104535212367,0.264,0,0,0,2017-11-08 07:58:19,,2017-11-08 07:58:19,292112.39535593806,224545.29351429225,,,,NonLandslide,2017_2021,1672065.0,PWE
237,50.80500030517578,50.80500030517578,1.9170000553131104,52.72200036048889,50.80500030517578,50.80500030517578,1.9170000553131104,52.72200036048889,-0.05746214746852082,-0.04163460910873707,0.017053303308375452,0.0065579760904627615,0.5014854771784234,-0.07548547717841968,0.1227080359760961,0.426,0,1,1,2014-09-08 00:00:00,2014-09-08 00:00:00,,290811.318942589,197392.759144607,Buncombe,{2416CCE1-45F4-413F-BB91-E7253FB85D11},61239.0,Landslide,2011_2016,1672010.0,EVE2
239,72.96399688720703,2.430000066757202,0.0,2.430000066757202,72.96399688720703,2.430000066757202,0.0,2.430000066757202,-0.057383459827818235,0.14570183353759156,0.04346456029895671,0.2287315888128571,0.5014854771784234,0.36051452282158714,0.4752814424772236,0.862,1,1,1,2019-01-17 00:00:00,2019-01-17,,306762.921053431,212977.261082992,Buncombe,{00492D3C-3555-46BD-84C6-B835B8384628},61548.0,Landslide,2017_2021,1672007.0,EDF
252,15.406999588012695,4.51800012588501,3.072999954223633,11.527000188827516,15.406999588012695,4.51800012588501,3.072999954223633,11.527000188827516,-0.07535010069365461,9.380623499312213e-05,-0.08134641135938735,-0.01288277136036605,0.5014854771784234,-0.1694854771784149,0.16967308964840114,0.332,0,1,1,2008-05-12 00:00:00,2008-05-12,,300517.986400001,205113.4815,Buncombe,{784A459F-48C5-436E-924D-A0C219B9612B},59344.0,Landslide,2005_2010,1672007.0,EDF
262,31.6560001373291,1.0097999572753906,0.0,1.0097999572753906,31.6560001373291,1.0097999572753906,0.0,1.0097999572753906,-0.019261990865252186,0.08723485875022383,0.03447789549661268,-0.043936240560004274,0.5014854771784234,0.058514522821580046,0.18491098567209296,0.56,1,0,0,2021-01-15 19:20:26,,2021-01-15 19:20:26,270355.9807887423,208204.06630976283,,,,NonLandslide,2017_2021,1672007.0,EDF
273,42.59000015258789,4.288000106811523,0.0,4.288000106811523,42.59000015258789,4.288000106811523,0.0,4.288000106811523,0.08909805767160192,0.16349491743052083,0.06359805306433429,0.15832349465512888,0.5014854771784234,0.4745145228215859,0.4745145228215859,0.976,1,1,1,2004-09-06 17:00:00,2004-09-06 17:00:00,,304250.813600004,223190.075199999,Buncombe,{64A09BAB-EA4F-49A2-BC4F-93FC01F8743B},58116.0,Landslide,1980_2021,1671931.0,BAE
279,16.908100128173828,16.908100128173828,11.698999404907228,38.46829891204834,16.908100128173828,16.908100128173828,11.698999404907228,38.46829891204834,-0.11010324570923921,-0.0800924882664529,-0.08694474855546787,-0.008344994647243864,0.5014854771784234,-0.28548547717840383,0.28548547717840383,0.216,0,0,0,2021-06-14 16:42:39,,2021-06-14 16:42:39,297382.01103578776,232001.91005731377,,,,NonLandslide,2017_2021,1672066.0,PXF
283,23.981698989868164,10.272899627685549,10.272899627685549,11.201699629426004,23.981698989868164,10.272899627685549,10.272899627685549,11.201699629426004,0.009021703067906225,-0.05002384514357669,-0.007579878626281339,-0.044903456476467624,0.5014854771784234,-0.09348547717841943,0.11152888331423189,0.408,0,0,0,2021-06-09 09:34:30,,2021-06-09 09:34:30,300195.4524689377,204855.04798150068,,,,NonLandslide,2017_2021,1672007.0,EDF
284,22.37299919128418,0.0,0.0,0.0,22.37299919128418,0.0,0.0,0.0,-0.3000875496223858,-0.08820397548359665,-0.015927906495428672,-0.09726604557700341,0.5014854771784234,-0.5014854771784145,0.5014854771784145,0.0,0,0,0,2019-03-09 00:13:17,,2019-03-09 00:13:17,274460.87657231826,213216.70915068057,,,,NonLandslide,2017_2021,1672017.0,EWF
