"Loamy sand"||"157195848"|"159878567"
"Loam"||"157194442"|"159877160"
"Fine sandy loam"||"157194777"|"159877496"
"Sandy loam"||"157195296"|"159878015"
"Clay"||"157194315"|"159877033"
"Loam"||"157195837"|"159878556"
"Clay loam"||"157194661"|"159877380"
"Sandy clay loam"||"157194409"|"159877127"
|"Bedrock"|"157195233"|"159877952"
"Loam"||"157195811"|"159878530"
"Fine sandy loam"||"157194740"|"159877459"
"Fine sandy loam"||"157195623"|"159878342"
"Fine sandy loam"||"157195261"|"159877980"
"Sandy clay loam"||"157195307"|"159878026"
"Sandy clay loam"||"157193945"|"159876661"
"Sandy loam"||"157195220"|"159877939"
"Clay loam"||"157195410"|"159878129"
"Sandy loam"||"157194075"|"159876793"
"Loam"||"157195441"|"159878160"
"Fine sandy loam"||"157195708"|"159878427"
"Fine sandy loam"||"157194534"|"159877253"
"Silt loam"||"157195050"|"159877769"
"Fine sandy loam"||"157194248"|"159876966"
"Fine sandy loam"||"157195222"|"159877941"
"Fine sandy loam"||"157194714"|"159877433"
"Fine sandy loam"||"157195209"|"159877928"
"Clay loam"||"157194431"|"159877149"
"Sandy loam"||"157194492"|"159877210"
"Sandy clay loam"||"157194951"|"159877670"
"Clay loam"||"157194650"|"159877369"
"Clay loam"||"157195009"|"159877728"
"Loamy sand"||"157195671"|"159878390"
"Clay loam"||"157193890"|"159876606"
"Fine sandy loam"||"157195526"|"159878245"
|"Moderately decomposed plant material"|"157195347"|"159878066"
"Clay loam"||"157193938"|"159876654"
"Loamy sand"||"157193971"|"159876687"
"Clay loam"||"157194302"|"159877020"
"Loam"||"157195675"|"159878394"
"Fine sandy loam"||"157195123"|"159877842"
"Fine sandy loam"||"157195514"|"159878233"
"Sandy clay loam"||"157194869"|"159877588"
"Sandy loam"||"157193919"|"159876635"
"Loamy sand"||"157194766"|"159877485"
"Sandy clay loam"||"157195368"|"159878087"
|"Bedrock"|"157194482"|"159877200"
"Loam"||"157193901"|"159876617"
"Clay"||"157194555"|"159877274"
"Sandy clay loam"||"157194906"|"159877625"
|"Moderately decomposed plant material"|"157195272"|"159877991"
"Loam"||"157195686"|"159878405"
"Sandy clay loam"||"157193930"|"159876646"
"Sandy loam"||"157194998"|"159877717"
"Loam"||"157195800"|"159878519"
"Loam"||"157193927"|"159876643"
"Fine sandy loam"||"157194821"|"159877540"
"Clay loam"||"157193982"|"159876698"
"Fine sandy loam"||"157195180"|"159877899"
"Very fine sandy loam"||"157194523"|"159877242"
"Sandy loam"||"157194385"|"159877103"
"Sandy loam"||"157194803"|"159877522"
"Loam"||"157194961"|"159877680"
"Loam"||"157195113"|"159877832"
|"Moderately decomposed plant material"|"157195191"|"159877910"
"Fine sandy loam"||"157194258"|"159876976"
"Loam"||"157195605"|"159878324"
"Loamy sand"||"157194344"|"159877062"
"Sandy clay loam"||"157195076"|"159877795"
"Sandy clay loam"||"157195660"|"159878379"
"Sandy loam"||"157195634"|"159878353"
"Sandy loam"||"157195535"|"159878254"
"Sandy clay loam"||"157194972"|"159877691"
|"Bedrock"|"157194925"|"159877644"
"Loam"||"157193993"|"159876710"
"Clay loam"||"157194396"|"159877114"
"Sandy clay loam"||"157194481"|"159877199"
"Loam"||"157194920"|"159877639"
"Fine sandy loam"||"157194576"|"159877295"
"Loam"||"157194649"|"159877368"
"Fine sandy loam"||"157194133"|"159876851"
"Fine sandy loam"||"157194524"|"159877243"
"Fine sandy loam"||"157194004"|"159876722"
|"Bedrock"|"157195294"|"159878013"
"Sandy loam"||"157194200"|"159876918"
"Fine sandy loam"||"157195697"|"159878416"
"Silt loam"||"157195109"|"159877828"
"Loam"||"157195167"|"159877886"
"Sandy clay loam"||"157195283"|"159878002"
"Loam"||"157195801"|"159878520"
|"Unweathered bedrock"|"157195771"|"159878490"
"Fine sandy loam"||"157193849"|"159876565"
"Sandy loam"||"157194795"|"159877514"
"Loamy sand"||"157194030"|"159876748"
"Sandy clay loam"||"157195357"|"159878076"
"Coarse sand"||"157194365"|"159877083"
"Sandy loam"||"157193785"|"159876501"
"Loam"||"157195642"|"159878361"
"Fine sandy loam"||"157194810"|"159877529"
"Loam"||"157195767"|"159878486"
"Loam"||"157194638"|"159877357"
"Sand"||"157195399"|"159878118"
"Fine sandy loam"||"157195734"|"159878453"
"Silt loam"||"157194086"|"159876804"
"Sandy clay loam"||"157193923"|"159876639"
"Fine sandy loam"||"157195546"|"159878265"
"Fine sandy loam"||"157193795"|"159876511"
"Sandy loam"||"157195616"|"159878335"
"Clay loam"||"157194326"|"159877044"
"Sandy loam"||"157194196"|"159876914"
"Silt loam"||"157195760"|"159878479"
"Fine sandy loam"||"157195420"|"159878139"
"Loamy sand"||"157194729"|"159877448"
"Clay loam"||"157194470"|"159877188"
"Loam"||"157194994"|"159877713"
"Clay loam"||"157194324"|"159877042"
"Loam"||"157193956"|"159876672"
"Loamy sand"||"157194762"|"159877481"
"Clay loam"||"157194902"|"159877621"
"Sandy loam"||"157194107"|"159876825"
"Fine sandy loam"||"157195504"|"159878223"
"Clay loam"||"157195358"|"159878077"
"Fine sandy loam"||"157195139"|"159877858"
"Sandy clay loam"||"157194556"|"159877275"
"Fine sandy loam"||"157195627"|"159878346"
"Fine sandy loam"||"157195483"|"159878202"
"Clay loam"||"157194081"|"159876799"
"Fine sandy loam"||"157195431"|"159878150"
"Clay loam"||"157193886"|"159876602"
"Clay loam"||"157194008"|"159876726"
"Loam"||"157194671"|"159877390"
"Sandy loam"||"157195346"|"159878065"
"Fine sandy loam"||"157195536"|"159878255"
"Loamy sand"||"157194618"|"159877337"
"Clay"||"157194291"|"159877009"
"Fine sandy loam"||"157195822"|"159878541"
"Loam"||"157194304"|"159877022"
"Fine sandy loam"||"157194060"|"159876778"
"Clay loam"||"157194884"|"159877603"
"Sandy loam"||"157193853"|"159876569"
"Sandy loam"||"157195723"|"159878442"
"Fine sandy loam"||"157194936"|"159877655"
"Fine sandy loam"||"157194957"|"159877676"
|"Weathered bedrock"|"157195638"|"159878357"
"Silt loam"||"157194233"|"159876951"
"Sandy loam"||"157194118"|"159876836"
"Fine sandy loam"||"157194858"|"159877577"
"Loam"||"157193826"|"159876542"
|"Slightly decomposed plant material"|"157194337"|"159877055"
"Sandy loam"||"157194459"|"159877177"
|"Bedrock"|"157193934"|"159876650"
"Sandy loam"||"157195557"|"159878276"
"Loam"||"157195741"|"159878460"
"Fine sandy loam"||"157193784"|"159876500"
"Clay loam"||"157194895"|"159877614"
"Fine sandy loam"||"157194407"|"159877125"
"Silty clay loam"||"157195108"|"159877827"
"Loam"||"157195796"|"159878515"
"Loamy sand"||"157195462"|"159878181"
"Loam"||"157194420"|"159877138"
"Fine sandy loam"||"157194037"|"159876755"
"Sandy loam"||"157194725"|"159877444"
"Loam"||"157194924"|"159877643"
