|"588571"|"1671992"|"35354237"
2245|"588572"|"1671992"|"35354354"
2245|"588573"|"1671992"|"35354495"
6108|"588566"|"1671993"|"35353529"
6108|"588567"|"1671993"|"35353670"
6108|"588568"|"1671993"|"35353811"
6108|"588569"|"1671993"|"35353952"
6108|"588570"|"1671993"|"35354093"
|"588571"|"1671993"|"35354208"
6108|"588572"|"1671993"|"35354301"
6108|"588573"|"1671993"|"35354442"
597|"588566"|"1671994"|"35353583"
597|"588567"|"1671994"|"35353724"
597|"588568"|"1671994"|"35353865"
597|"588569"|"1671994"|"35354006"
597|"588570"|"1671994"|"35354147"
|"588571"|"1671994"|"35354238"
597|"588572"|"1671994"|"35354355"
597|"588573"|"1671994"|"35354496"
1086|"588566"|"1671995"|"35353501"
1086|"588567"|"1671995"|"35353642"
1086|"588568"|"1671995"|"35353783"
1086|"588569"|"1671995"|"35353924"
1086|"588570"|"1671995"|"35354065"
|"588571"|"1671995"|"35354199"
1086|"588572"|"1671995"|"35354273"
1086|"588573"|"1671995"|"35354414"
46|"588566"|"1671996"|"35353532"
46|"588567"|"1671996"|"35353673"
46|"588568"|"1671996"|"35353814"
46|"588569"|"1671996"|"35353955"
46|"588570"|"1671996"|"35354096"
46|"588572"|"1671996"|"35354304"
46|"588573"|"1671996"|"35354445"
1613|"588566"|"1672002"|"35353531"
1613|"588567"|"1672002"|"35353672"
1613|"588568"|"1672002"|"35353813"
1613|"588569"|"1672002"|"35353954"
1613|"588570"|"1672002"|"35354095"
1613|"588572"|"1672002"|"35354303"
1613|"588573"|"1672002"|"35354444"
1752|"588566"|"1672003"|"35353533"
1752|"588567"|"1672003"|"35353674"
1752|"588568"|"1672003"|"35353815"
1752|"588569"|"1672003"|"35353956"
1752|"588570"|"1672003"|"35354097"
|"588571"|"1672003"|"35354210"
1752|"588572"|"1672003"|"35354305"
1752|"588573"|"1672003"|"35354446"
107|"588566"|"1672004"|"35353502"
107|"588567"|"1672004"|"35353643"
107|"588568"|"1672004"|"35353784"
107|"588569"|"1672004"|"35353925"
107|"588570"|"1672004"|"35354066"
107|"588572"|"1672004"|"35354274"
107|"588573"|"1672004"|"35354415"
8968|"588566"|"1672005"|"35353613"
8968|"588567"|"1672005"|"35353754"
8968|"588568"|"1672005"|"35353895"
8968|"588569"|"1672005"|"35354036"
8968|"588570"|"1672005"|"35354177"
|"588571"|"1672005"|"35354251"
8968|"588572"|"1672005"|"35354385"
8968|"588573"|"1672005"|"35354526"
30230|"588566"|"1672006"|"35353612"
30230|"588567"|"1672006"|"35353753"
30230|"588568"|"1672006"|"35353894"
30230|"588569"|"1672006"|"35354035"
30230|"588570"|"1672006"|"35354176"
|"588571"|"1672006"|"35354250"
30230|"588572"|"1672006"|"35354384"
30230|"588573"|"1672006"|"35354525"
23083|"588566"|"1672007"|"35353611"
23083|"588567"|"1672007"|"35353752"
23083|"588568"|"1672007"|"35353893"
23083|"588569"|"1672007"|"35354034"
23083|"588570"|"1672007"|"35354175"
|"588571"|"1672007"|"35354249"
23083|"588572"|"1672007"|"35354383"
23083|"588573"|"1672007"|"35354524"
23432|"588566"|"1672009"|"35353614"
23432|"588567"|"1672009"|"35353755"
23432|"588568"|"1672009"|"35353896"
23432|"588569"|"1672009"|"35354037"
23432|"588570"|"1672009"|"35354178"
|"588571"|"1672009"|"35354252"
23432|"588572"|"1672009"|"35354386"
23432|"588573"|"1672009"|"35354527"
18385|"588566"|"1672010"|"35353615"
18385|"588567"|"1672010"|"35353756"
18385|"588568"|"1672010"|"35353897"
18385|"588569"|"1672010"|"35354038"
18385|"588570"|"1672010"|"35354179"
|"588571"|"1672010"|"35354253"
18385|"588572"|"1672010"|"35354387"
18385|"588573"|"1672010"|"35354528"
489|"588566"|"1672012"|"35353616"
489|"588567"|"1672012"|"35353757"
489|"588568"|"1672012"|"35353898"
489|"588569"|"1672012"|"35354039"
489|"588570"|"1672012"|"35354180"
489|"588572"|"1672012"|"35354388"
489|"588573"|"1672012"|"35354529"
1419|"588566"|"1672013"|"35353626"
1419|"588567"|"1672013"|"35353767"
1419|"588568"|"1672013"|"35353908"
1419|"588569"|"1672013"|"35354049"
1419|"588570"|"1672013"|"35354190"
|"588571"|"1672013"|"35354257"
1419|"588572"|"1672013"|"35354398"
1419|"588573"|"1672013"|"35354539"
16975|"588566"|"1672015"|"35353617"
16975|"588567"|"1672015"|"35353758"
16975|"588568"|"1672015"|"35353899"
16975|"588569"|"1672015"|"35354040"
16975|"588570"|"1672015"|"35354181"
|"588571"|"1672015"|"35354254"
16975|"588572"|"1672015"|"35354389"
16975|"588573"|"1672015"|"35354530"
22381|"588566"|"1672016"|"35353618"
22381|"588567"|"1672016"|"35353759"
22381|"588568"|"1672016"|"35353900"
22381|"588569"|"1672016"|"35354041"
22381|"588570"|"1672016"|"35354182"
|"588571"|"1672016"|"35354255"
22381|"588572"|"1672016"|"35354390"
22381|"588573"|"1672016"|"35354531"
2866|"588566"|"1672017"|"35353625"
2866|"588567"|"1672017"|"35353766"
2866|"588568"|"1672017"|"35353907"
2866|"588569"|"1672017"|"35354048"
