"C"||"C"||||107|||203|||||5|5|24|15|42|42|52|89|98|8|81|98|6|62|81|3|31|44||68|||5|||13.9|||16.9|||20.3|||11.9|||23.5||||||||2|8.5|15||||0|0.25|0.5||||1.2|1.4|1.6||||1.31|1.51|1.62||14|28|42|0.04|0.07|0.09||||0|8.7|16.7|0|3.1|8.2|0|26|45|0|1.5|2.9|0|20|27|0|5|10|0|0|1|".10"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|2.7|4.9|0.4|2|3.7||||3.5|4.8|6||||||||||3.2|7.3|11.6|||||||||||||||||||"Very high"||"25942671"|"77518623"
"A"||"A"||||0|||38|||||0|3|10|0|3|5|88|94|100|65|81|100|53|71|94|37|51|69||43.8|||4.3|||5.9|||7.8|||13.5|||12.3|||40.2||||||||10|16|22||||10|15|20||||1.1|1.2|1.3||||1.16|1.26|1.32||14|28|42|0.16|0.19|0.22||||22.7|30.8|39.1|12.1|21.3|32.4|29|38|48|0|1.5|2.9|42|59|75|5|10|14|0|4|14|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|25|37.8|50.5|18.8|28.3|37.9||||3.5|4.5|5.5||||||||||30.5|45.9|61.4|||||||||||||||||||||"25942672"|"77518625"
"Bw"||"B"||||38|||71|||||0|3|8|0|0|9|75|90|100|50|81|100|34|62|84|15|31|46||66.8|||4.1|||14.6|||18.5|||19.8|||9.8|||15.2||||||||10|18|25||||0|0.5|1||||1.35|1.48|1.6||||1.43|1.56|1.63||14|28|42|0.12|0.15|0.18||||9|18.4|24.9|3.5|10.3|16.9|21|36|46|0|1.5|2.9|20|29|37|6|12|17|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|5.6|8.5|1.9|4.2|6.4||||3.5|4.5|5.5||||||||||5.5|10|14.4|||||||||||||||||||||"25942672"|"77518626"
"BC"||"BC"||||71|||203|||||0|3|7|0|7|12|73|85|100|37|65|100|25|49|84|11|25|46||67.9|||4.5|||14.5|||18|||20.2|||10.7|||19.6||||||||5|12.5|20||||0|0.25|0.5||||1.35|1.48|1.6||||1.44|1.57|1.67||14|28|42|0.1|0.13|0.16||||5.1|12.9|22.2|1.4|5.8|13.1|16|30|46|0|1.5|2.9|16|24|32|2|8|13|0|0|2|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3.7|6.1|0.9|2.8|4.6||||3.5|5|5.5||||||||||4.6|7.5|12.4|||||||||||||||||||||"25942672"|"77518627"
"A"||"A"||||0|||20|||20||0|0|0|0|0|5|95|96|100|84|91|98|64|72|89|22|27|41||79.2|||3.4|||12.6|||20.7|||27.2|||15.3|||16.8||||||||1|4|16|0|0|0|0|1|2||||1.2|1.43|1.65||||1.27|1.5|1.72||42.35|91.74|141.14|0.1|0.13|0.15|9.9|17.8|25.8|5|12.3|21.8|0.6|3.8|12.8|31|41|51|0|1.5|2.9|0|18|31|0|1|10|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|2.4|6.4||||4|5.5|6.5||||||||||0.1|3.6|9.1|||||||||||||||||||||"25942658"|"77518584"
"C"||"C"||||20|||203|||183||0|0|0|0|0|6|95|97|98|81|90|96|61|69|76|5|7|9||96.5|||0.7|||13.2|||37.4|||38|||7.2|||1.5||||||||0|2|4|0|0|0|0|0.25|0.5||||1.2|1.45|1.7||||1.27|1.52|1.77||42.35|91.74|141.14|0.06|0.08|0.1|4.2|10.9|13.6|1.5|6.8|9.6|0.1|1.5|3.2|29|40|51|0|1.5|2.9|0|0|18|0|0|1|0|0|0|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0||||0|0.8|1.6||||4|5.5|6.5||||||||||0|2.1|5|||||||||||||||||||||"25942658"|"77518585"
"Cg2"||"C"||2||107|||127|||20||0|0|0|0|0|3|95|97|98|81|90|97|75|87|97|68|80|90||16|||0.5|||1.9|||2.6|||2.9|||8.1|||55||||||||25|29|34|0|0|0|0.5|1.25|2||||1.45|1.55|1.65||||1.53|1.63|1.7||0.43|0.92|1.41|0.05|0.1|0.15||||26.3|30.8|34.3|13.9|18.5|23.3|30|36|41|0|1.5|2.9|34|40|47|17|20|24|10|15|24|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|7.4|10.1|13|||||||5.1|5.8|6.5||||||||||2.6|7.8|13|||||||||||||||||||||"25942659"|"77518586"
"A"||"A"||||0|||51|||51||0|0|0|0|0|0|96|98|100|91|94|98|71|86|96|53|67|76||35|||3.3|||4.6|||6.2|||10.9|||10|||45||||||||8|20|27|0|0|0|8|12|18||||1.3|1.4|1.5||||1.37|1.47|1.53||4.24|9.18|14.11|0.15|0.18|0.2||||28.5|34.2|39|14.6|25.9|37.2|31|36|41|0|1.5|2.9|36|55|74|4|13|17|0|10|20|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|19.8|31.2|47.2|||||||5.1|5.8|6.5||||||||||11.8|22.6|36.5|||||||||||||||||||||"25942659"|"77518587"
"Cg1"||"C"||1||51|||107|||56||0|0|0|0|0|3|95|97|98|81|90|97|67|86|95|58|75|84||25|||0.6|||3.6|||2.8|||2.9|||15.1|||51||||||||12|24|27|0|0|0|4|8|12||||1.45|1.55|1.65||||1.53|1.63|1.7||4.24|9.18|14.11|0.05|0.1|0.15||||22.9|30.4|35.2|11.5|24.5|32.7|26|32|37|0|1.5|2.9|31|50|62|7|16|18|2|13|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|12|24|33.8|||||||5.1|5.8|6.5||||||||||6.3|17.4|27.4|||||||||||||||||||||"25942659"|"77518588"
"Cg3"||"C"||3||127|||203|||76||0|0|0|4|9|12|95|97|98|81|90|97|53|69|77|22|35|41||67|||4.4|||14.3|||17.8|||19.9|||10.6|||16||||||||5|17|20|0|0|0|0.5|1.25|2||||1.45|1.55|1.65||||1.53|1.63|1.71||14.12|28.23|42.34|0.05|0.1|0.15||||10.5|19.3|23|3.3|11.3|15.1|28|34|40|0|1.5|2.9|17|30|35|2|11|13|0|0|2|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|7.1|9.5|||||||5.1|5.8|6.5||||||||||0.1|6.3|11.3|||||||||||||||||||||"25942659"|"77518589"
