X,Y,IsLandslide,geometry
275979.351899996,198941.195799999,1,POINT (275979.351899996 198941.195799999)
276486.747500002,198576.600000001,1,POINT (276486.747500002 198576.600000001)
312917.055699997,204596.292300001,1,POINT (312917.055699997 204596.292300001)
312896.266000003,204623.284699999,1,POINT (312896.266000003 204623.284699999)
277169.203500003,199462.112199999,1,POINT (277169.203500003 199462.112199999)
277056.746600002,199408.873300001,1,POINT (277056.746600002 199408.873300001)
277232.458800003,199611.4186,1,POINT (277232.458800003 199611.4186)
277162.503399998,199737.891800001,1,POINT (277162.503399998 199737.891800001)
277019.888400003,196464.5372,1,POINT (277019.888400003 196464.5372)
276946.3574,196841.473499998,1,POINT (276946.3574 196841.473499998)
277546.771399997,196739.047400001,1,POINT (277546.771399997 196739.047400001)
318012.439125623,202369.548917982,1,POINT (318012.439125623 202369.548917982)
273336.802000001,198733.800299998,1,POINT (273336.802000001 198733.800299998)
312646.016599998,203049.2621,1,POINT (312646.016599998 203049.2621)
312614.8926,202985.910599999,1,POINT (312614.8926 202985.910599999)
312631.341700003,203071.9461,1,POINT (312631.341700003 203071.9461)
304750.848899998,202893.7412,1,POINT (304750.848899998 202893.7412)
313756.401000001,202217.938099999,1,POINT (313756.401000001 202217.938099999)
319941.108400002,202538.385899998,1,POINT (319941.108400002 202538.385899998)
319973.415399998,202527.3563,1,POINT (319973.415399998 202527.3563)
320125.182400003,202365.9692,1,POINT (320125.182400003 202365.9692)
321672.850699998,201736.919,1,POINT (321672.850699998 201736.919)
314082.299000002,200487.550999999,1,POINT (314082.299000002 200487.550999999)
313309.555299997,200441.144400001,1,POINT (313309.555299997 200441.144400001)
302021.006399997,223662.391100001,1,POINT (302021.006399997 223662.391100001)
301871.381700002,223876.770599999,1,POINT (301871.381700002 223876.770599999)
301706.839500003,221932.329799999,1,POINT (301706.839500003 221932.329799999)
304674.343955282,224619.214791408,1,POINT (304674.343955282 224619.214791408)
266751.9749,199541.735100001,1,POINT (266751.9749 199541.735100001)
268913.230700001,199742.534000002,1,POINT (268913.230700001 199742.534000002)
266772.209600002,197438.532400001,1,POINT (266772.209600002 197438.532400001)
269374.075300001,206684.954700001,1,POINT (269374.075300001 206684.954700001)
275190.448100001,197917.515700001,1,POINT (275190.448100001 197917.515700001)
270152.894000001,208164.583700001,1,POINT (270152.894000001 208164.583700001)
272702.465899996,210829.794399999,1,POINT (272702.465899996 210829.794399999)
269981.387000002,213315.764699999,1,POINT (269981.387000002 213315.764699999)
269978.608599998,213369.381000001,1,POINT (269978.608599998 213369.381000001)
269976.4023,213392.556400001,1,POINT (269976.4023 213392.556400001)
271874.306900002,207671.903999999,1,POINT (271874.306900002 207671.903999999)
267444.672200002,218201.662799999,1,POINT (267444.672200002 218201.662799999)
267495.0185,218179.427999999,1,POINT (267495.0185 218179.427999999)
266010.9344,219597.661200002,1,POINT (266010.9344 219597.661200002)
266020.921999998,219593.504299998,1,POINT (266020.921999998 219593.504299998)
264848.489299998,217807.999200001,1,POINT (264848.489299998 217807.999200001)
264882.129500002,217402.473999999,1,POINT (264882.129500002 217402.473999999)
265964.988499999,218699.912700001,1,POINT (265964.988499999 218699.912700001)
266104.169799998,218937.172800001,1,POINT (266104.169799998 218937.172800001)
266109.028099999,218981.285100002,1,POINT (266109.028099999 218981.285100002)
266460.595399998,219501.530900002,1,POINT (266460.595399998 219501.530900002)
265263.659599997,218755.196400002,1,POINT (265263.659599997 218755.196400002)
268439.044200003,220470.867699999,1,POINT (268439.044200003 220470.867699999)
262529.643399999,216118.591699999,1,POINT (262529.643399999 216118.591699999)
262140.619000003,220544.513999999,1,POINT (262140.619000003 220544.513999999)
262189.538099997,220666.302900001,1,POINT (262189.538099997 220666.302900001)
262010.469265547,220827.733355767,1,POINT (262010.469265547 220827.733355767)
262041.816399999,220833.1171,1,POINT (262041.816399999 220833.1171)
261967.2764,220842.775199998,1,POINT (261967.2764 220842.775199998)
261898.313500002,220790.599100001,1,POINT (261898.313500002 220790.599100001)
261893.869400002,220682.854699999,1,POINT (261893.869400002 220682.854699999)
293250.240599997,200894.171500001,1,POINT (293250.240599997 200894.171500001)
293278.329259848,200751.357855296,1,POINT (293278.329259848 200751.357855296)
296753.367700003,203157.4078,1,POINT (296753.367700003 203157.4078)
296790.754299998,203170.538400002,1,POINT (296790.754299998 203170.538400002)
293518.600500002,200637.643599998,1,POINT (293518.600500002 200637.643599998)
295265.719400004,203206.709199999,1,POINT (295265.719400004 203206.709199999)
287462.722999997,207309.548599999,1,POINT (287462.722999997 207309.548599999)
300650.672791049,213087.424612187,1,POINT (300650.672791049 213087.424612187)
291331.167599998,211088.996599998,1,POINT (291331.167599998 211088.996599998)
307462.915063701,205234.960509667,1,POINT (307462.915063701 205234.960509667)
289250.20949911,210730.500303959,1,POINT (289250.20949911 210730.500303959)
288973.226063689,212937.465280502,1,POINT (288973.226063689 212937.465280502)
289953.6219576,216541.148534473,1,POINT (289953.6219576 216541.148534473)
296868.064842677,195664.656992986,1,POINT (296868.064842677 195664.656992986)
289198.416981483,213476.88681042,1,POINT (289198.416981483 213476.88681042)
287742.409192344,206925.190331828,1,POINT (287742.409192344 206925.190331828)
289502.618598251,211942.336551483,1,POINT (289502.618598251 211942.336551483)
293926.645089061,218928.110342857,1,POINT (293926.645089061 218928.110342857)
290417.039032819,209971.47774001,1,POINT (290417.039032819 209971.47774001)
290033.180985856,213554.268133497,1,POINT (290033.180985856 213554.268133497)
290811.318942589,197392.759144607,1,POINT (290811.318942589 197392.759144607)
310560.06209074,215001.945029316,1,POINT (310560.06209074 215001.945029316)
310539.275415073,214996.970440267,1,POINT (310539.275415073 214996.970440267)
288147.520167142,217764.642080676,1,POINT (288147.520167142 217764.642080676)
297239.724804215,205872.07921578,1,POINT (297239.724804215 205872.07921578)
295650.565448852,205041.559850009,1,POINT (295650.565448852 205041.559850009)
296363.17060871,217577.442939315,1,POINT (296363.17060871 217577.442939315)
306789.103904331,213076.721157,1,POINT (306789.103904331 213076.721157)
303781.856570284,221104.758869666,1,POINT (303781.856570284 221104.758869666)
312480.833740239,213591.93757447,1,POINT (312480.833740239 213591.93757447)
317829.703805999,202407.266679175,1,POINT (317829.703805999 202407.266679175)
280448.375807977,211973.085958389,1,POINT (280448.375807977 211973.085958389)
280554.553510682,211977.871437984,1,POINT (280554.553510682 211977.871437984)
280634.130680968,212007.546965286,1,POINT (280634.130680968 212007.546965286)
292604.333234648,217420.831043785,1,POINT (292604.333234648 217420.831043785)
292596.367036019,217438.976273995,1,POINT (292596.367036019 217438.976273995)
313173.413037472,197523.708275157,1,POINT (313173.413037472 197523.708275157)
303799.397524657,221300.897550773,1,POINT (303799.397524657 221300.897550773)
274607.697490563,210040.296216526,1,POINT (274607.697490563 210040.296216526)
313201.622075155,212522.026916107,1,POINT (313201.622075155 212522.026916107)
280687.582047249,212089.763452691,1,POINT (280687.582047249 212089.763452691)
280637.656781739,211981.6408623,1,POINT (280637.656781739 211981.6408623)
280717.801279051,212011.208713267,1,POINT (280717.801279051 212011.208713267)
280592.106865068,212021.511036933,1,POINT (280592.106865068 212021.511036933)
280633.447546923,212052.290230723,1,POINT (280633.447546923 212052.290230723)
280666.462034263,212051.983635421,1,POINT (280666.462034263 212051.983635421)
280413.545284202,212073.470606245,1,POINT (280413.545284202 212073.470606245)
291240.65898107,198094.557280201,1,POINT (291240.65898107 198094.557280201)
