IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID
1,2004-09-06 17:00:00,300650.672791049,213087.424612187,POINT (-82.41143024486303 35.623041406846475),31.193,5.889734,,Buncombe,{147C1895-97B0-4686-98E7-0BDDC2C55D24},Extremely rapid (>5 m/sec),2008-05-01,Landslide Hazard Mapping,,60917.0,,Oteen,,Unmodified,Flow,Debris,Debris,Slide,,2004-09-06 17:00:00,20110221171.0
1,2004-09-06 17:00:00,274607.697490563,210040.296216526,POINT (-82.69748834166793 35.587188830087484),28.511,3.0409002,,Buncombe,{6B455B5E-0611-4FD8-927A-4CBC337F527A},,2013-07-09,Geohazards,,61379.0,,Enka,Very slow (>16 mm/yr),Embankment - Not road related,,Debris,,Slide,Active,2004-09-06 17:00:00,201308150001.0
1,2004-09-06 17:00:00,301634.7883,221666.383699998,POINT (-82.4038189997114 35.70062899955762),29.916,4.2329335,,Buncombe,{EF665E0A-A9EA-4DDA-AF16-2D07E006451E},,2005-05-11,Geohazards,,58158.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,640.0
1,2004-09-06 17:00:00,301653.486900002,221641.320599999,POINT (-82.40360300018142 35.70040899981438),29.916,4.2329335,,Buncombe,{D6FDA923-4241-497E-BBDE-CA2D4A80C223},,2005-05-11,Geohazards,,58157.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,639.0
1,2004-09-06 17:00:00,305247.961499996,222107.308200002,POINT (-82.36408000046133 35.70571100002525),42.59,5.0193334,,Buncombe,{3EB84A6D-4FE7-4BCF-9A3B-19F7F0780D57},,2008-09-18,Blue Ridge Parkway,,60600.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5502.0
1,2004-09-06 17:00:00,305128.222199999,222234.1417,POINT (-82.36544999973606 35.70681700002752),42.59,5.0193334,,Buncombe,{93E5A57B-95C8-4E4E-BFF4-D5511666237E},,,Blue Ridge Parkway,,60599.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5501.0
1,2004-09-06 17:00:00,304250.813600004,223190.075199999,POINT (-82.37550000006836 35.71515999995724),42.59,5.0193334,,Buncombe,{64A09BAB-EA4F-49A2-BC4F-93FC01F8743B},,,Geohazards,,58116.0,,Craggy Pinnacle,,Unmodified,,,,,,2004-09-06 17:00:00,615.0
1,2004-09-06 17:00:00,299544.2271,232056.324000001,POINT (-82.4308740004417 35.79357500012398),25.02,3.6817334,,Buncombe,{8BFF04EB-2B6F-4164-81B4-D6EECA52DB64},,2008-07-02,Landslide Hazard Mapping,,59521.0,,Barnardsville,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5356.0
1,2004-09-06 17:00:00,311021.272600003,223068.556899998,POINT (-82.30066699974338 35.71611700007959),50.522,5.0841,,Buncombe,{57D92C25-52A6-4C29-94FC-A0724E5D0890},,2008-09-09,Landslide Hazard Mapping,,60597.0,,Montreat,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,5499.0
1,2004-09-06 17:00:00,302021.006399997,223662.391100001,POINT (-82.40030900047738 35.71872899953859),29.916,4.2329335,,Buncombe,{385BD110-045D-450E-86BD-3DDA1CD79B78},,,Landslide Hazard Mapping,,60786.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4480.0
