X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,geometry,Sort_Date,IsLandslide
275979.351899996,198941.195799999,60616.0,5601.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{186EA753-37E1-4E04-B8F0-E94E9AA36AC6},POINT (275979.351899996 198941.195799999),1977-11-05 06:00:00,1
275046.8957,198294.076299999,57924.0,334.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{C70EE88A-49AE-4B2B-B7B2-78F8F2FBCC34},POINT (275046.8957 198294.076299999),1977-11-05 06:00:00,1
275505.967399999,198476.9595,57966.0,337.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{FCE99EE3-8C6D-4798-8627-5256DBD33DE2},POINT (275505.967399999 198476.9595),1977-11-05 06:00:00,1
274831.793200001,198221.0341,57923.0,333.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road unspecified,,,,{7E58D8FB-1C8F-4F4A-AC8A-146871CB1D2E},POINT (274831.793200001 198221.0341),1977-11-05 06:00:00,1
277183.502700001,197102.916200001,57921.0,330.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{6268007A-6B58-4F6D-89DF-5C3483D4EF6D},POINT (277183.502700001 197102.916200001),1977-11-05 06:00:00,1
278342.997299999,199955.242400002,57915.0,391.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{B302CC0F-DD60-4F32-B2DE-BD5E02BEE767},POINT (278342.997299999 199955.242400002),1977-11-05 06:00:00,1
277000.372000001,196806.5075,57914.0,390.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{48038266-95E8-48FD-B3B5-CAFEC7BF26B2},POINT (277000.372000001 196806.5075),1977-11-05 06:00:00,1
275138.453299999,197994.27,57913.0,388.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{43CEDE15-37B9-48A2-85E8-5B886F37F7EE},POINT (275138.453299999 197994.27),1977-11-05 06:00:00,1
277169.203500003,199462.112199999,60620.0,5606.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{645B3144-B831-4D65-ADF6-FDB7738C11F8},POINT (277169.203500003 199462.112199999),1977-11-05 06:00:00,1
277056.746600002,199408.873300001,60621.0,5607.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{72C9FEC0-4D0A-41C6-8029-840407F09AA3},POINT (277056.746600002 199408.873300001),1977-11-05 06:00:00,1
