Max_Rainfall_30day,Avg_Rainfall_30day,Soil_Depth_cm,Elevation_m,Slope_deg,SHAP_Max_Rainfall_30day,SHAP_Avg_Rainfall_30day,SHAP_Soil_Depth_cm,SHAP_Elevation_m,SHAP_Slope_deg,IsLandslide
57.442,4.2960334,200.0,661.3434448242188,7.166274966424096,0.09827166580187623,0.16322999619529582,-0.002519999556825496,0.1903549973689951,0.07156333240680396,1
57.442,4.2960334,200.0,650.6412963867188,1.0332076041045617,-0.014836665901821106,0.08457166491309182,-0.007544999474775977,0.09055499918409624,0.04815499839256518,1
57.442,4.2960334,200.0,669.1924438476562,9.458676505720444,0.12050999872968532,0.15057666303415318,-0.003006666368455626,0.10885999846679624,0.06395999863394536,1
51.964,3.7935667,86.0,663.2001953125,5.057193905934116,0.032468333308934234,0.08905166574637406,0.03770999877073336,0.17215166501002385,0.049518332720617765,1
27.601,2.0327332,200.0,903.4464111328124,16.78349743213418,0.02725333397043869,0.18656166379572825,-0.038404998709447684,0.048436666051857175,0.017053333439980632,1
27.601,2.0327332,200.0,914.62158203125,12.870331622900142,0.03678000050247647,0.21503832973307,-0.030469998852349817,0.08573833162081428,0.04381333299796097,1
27.601,2.0327332,200.0,914.7677612304688,7.421109543128437,-0.012848332276917063,0.148593330795411,-0.03813166549080051,0.09806833185488358,0.0252183326438535,1
24.248,1.9295334,200.0,644.1903686523438,0.8023616184217649,-0.00877166581165511,0.12486999746819492,-0.019771665802691133,0.1462783306412166,0.24829499458894133,1
24.248,1.9295334,200.0,659.8436889648438,20.255795121815545,-0.06765499812958296,0.03384500009880867,-0.04268833181762602,0.06451166598068085,-0.05711333224724512,1
24.248,1.9295334,76.0,662.0929565429688,1.863788202868294,-0.004251665587071329,0.15357333114137872,0.1314649955497589,0.08941499910084531,0.11069833056186326,1
36.98,2.1457667,58.0,689.580810546875,13.48883758825602,0.00756000051740557,0.1540766643313691,0.2989183233329095,0.02784333336749114,0.03250166654819622,1
25.512,2.1101665,200.0,782.07861328125,35.469272542822914,0.026976667483104393,0.14549333167378792,-0.017431665847543628,0.059276666158111765,0.18658499590237626,1
24.848,2.4037004,200.0,668.7072143554688,5.339241458301794,0.01142833433812484,0.10424499842512887,-0.034329998687608165,0.03235333351942245,0.02720333270553965,1
24.848,2.4037004,200.0,675.5184936523438,4.525186208861695,0.023185000687954017,0.1345766643626848,-0.029514998761587776,0.052301666564308104,0.050351665891939776,1
24.848,2.4037004,200.0,677.580322265625,3.60784310372223,0.04080833392392378,0.15516666374052876,-0.02296666564885527,0.08421666593814735,0.08367499818385113,1
24.848,2.4037004,200.0,645.5275268554688,4.541908907886475,-0.03246666498715058,0.06278333243739326,-0.0379166653205175,0.008124999803258107,0.030375000107451342,1
17.197,1.4422758,76.0,917.7154541015624,17.19295810824431,0.019315000499482267,0.1660316645540297,0.19252332776086406,0.04334833315690048,-0.0003183329466264695,1
14.657,1.374862,200.0,795.7256469726562,23.72158775206813,0.28646165880491026,0.1175866656540893,-0.025521665871492585,0.04669499972718768,0.05567833272390999,1
37.498,3.1557667,200.0,1290.8900146484375,11.770671557129232,0.03848999933630694,0.1533149976655841,-0.025968332562479192,-0.12145166561938822,-0.07348499907471705,1
33.866,2.9174001,200.0,928.4540405273438,31.28147098396076,0.03910000039963052,0.2142999964673072,-0.007374999620369635,0.010499999437015503,0.21437499641324392,1
42.728,3.7120333,200.0,1069.212158203125,39.653501367885234,0.0008316674130037427,0.14387333113525527,-0.02957666585512925,-0.028259999649599195,0.10403166507836431,1
33.866,2.9174001,200.0,975.1402587890624,32.212398043797464,0.042031667010160166,0.2104566637647804,-0.00720999970624689,0.0254816655482864,0.22013999632268677,1
41.483,3.7187998,76.0,1337.25732421875,27.823712185299023,0.05864499990886543,0.18432833060680423,0.11156999724626075,-0.008280001109815202,0.07463666687486693,1
42.115,3.1645334,200.0,1061.7462158203125,34.278596128448484,0.038881666978704744,0.22793166227289474,-0.018018332866486162,-0.0063600002828752625,0.14846499728620985,1
30.658,2.5766335,200.0,680.2410278320312,14.461293785388794,0.022471667302306743,0.16587999723968097,-0.0302449988637818,0.10010499902942684,0.06268833279144019,1
31.011,2.5626333,200.0,820.1845703125,30.978913352159292,0.05372500014957041,0.19096666341356466,-0.025308332287240772,0.011341666706721298,0.20017499613342807,1
31.011,2.9615664,200.0,724.8814086914062,20.1118746709438,0.012036667190259323,0.16788666322245263,-0.01917166585335508,0.0818116656463826,0.058336666249670086,1
31.382,3.0850668,69.0,630.0560302734375,5.780662288064916,0.055905000300263054,0.15441333130875137,0.16051332842966076,0.14157999756687786,0.05848833268741146,1
31.382,3.0850668,69.0,633.684326171875,18.0308579748963,0.04905000044440385,0.14014166581619064,0.1338916619733209,0.15528333046182524,0.012533333573373965,1
31.382,3.0850668,69.0,639.6517333984375,17.262237307137365,0.022778333972091787,0.10261166661395692,0.16576166191254743,0.08251166534493677,-0.012763332783943043,1
31.382,3.0850668,69.0,634.1643676757812,18.605298733844265,0.039748333844472655,0.13096499926701655,0.13726499539334328,0.1410399975447217,0.001881666912813671,1
31.382,3.0850668,69.0,627.0761108398438,3.653247048093525,0.048460000234772455,0.1513183313672198,0.14011832902266178,0.13336833163513803,0.03763499923807103,1
31.463,3.5975,200.0,609.83984375,13.627035676507065,0.07995666592905763,0.2580149946018355,-0.010451665917062201,0.19078166219755077,-0.0074016667163232346,1
31.463,3.5975,200.0,589.261474609375,2.3268849613248843,0.0455216662643943,0.20004666263936088,-0.006336666424176656,0.3479716558905784,0.04369666552520357,1
31.463,3.5975,200.0,590.3350219726562,2.00306434358108,0.0470499995618593,0.19659166256547905,-0.006558333061402664,0.3300749897392234,0.033741665676934644,1
31.463,3.5975,200.0,590.411376953125,3.234002864991582,0.04276499974774197,0.20212332925235388,-0.00933499967912212,0.3556233223568415,0.019723332709399983,1
31.463,3.5975,200.0,594.3280639648438,16.556026764582107,0.05047166600590572,0.22311332900368142,-0.009544999482459389,0.3603383219940588,-0.013478333178791218,1
31.463,3.5975,200.0,588.2960815429688,1.2044353832705632,0.054236666175420396,0.19164499571197666,-0.005813333024852909,0.3370616562489886,0.05376999845262617,1
31.463,3.5975,200.0,603.8822631835938,27.74924707991831,0.05253333310422022,0.24213332888437436,-0.004158332829829306,0.1292333293671254,0.07115833186602685,1
31.463,3.5975,200.0,591.844970703125,5.583398238485899,0.04308499969542026,0.19815166283864527,-0.01108999952673912,0.3586516559275333,-0.007898333325283603,1
31.463,3.5975,200.0,614.8749389648438,13.165184048132794,0.08270333258202299,0.2582783278939314,-0.009854999326635153,0.2192866615630919,0.00048666650953236966,1
31.463,3.5975,200.0,592.5073852539062,7.865262817195378,0.03997999963816255,0.20561332961253356,-0.010044999509118498,0.34242998945119324,-0.007078333272365853,1
31.463,3.5975,200.0,626.6869506835938,14.340795896016486,0.08169333262077999,0.25047666098282206,-0.017714999105082826,0.1774266631162027,-0.0009816662938101218,1
31.463,3.5975,200.0,585.253173828125,2.689317340374196,0.042113333023153246,0.207213329023798,-0.007119999728747644,0.3533299890824128,0.03536333235562779,1
31.463,3.5975,200.0,588.9473876953125,2.444051351979587,0.0442149996117223,0.203173329247511,-0.006359999746782705,0.34929832252673804,0.04057333216594998,1
31.463,3.5975,200.0,587.6401977539062,5.005429777042309,0.04076499966264237,0.20136499595304486,-0.009301666280371136,0.35248165608674753,-0.004410000026691705,1
