k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
3,"['R1d', 'R7d', 'R30d']",0.5562913907284768,0.5459459459459459,0.6688741721854304,0.6011904761904762,0.5414016929082057,0.25144606718999957,,0.0225
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R30d']",0.5513245033112583,0.549520766773163,0.5695364238410596,0.5593495934959349,0.5761260471031973,0.24448057798863468,,0.0238
3,"['R3d', 'R7d', 'R30d']",0.5496688741721855,0.5436046511627907,0.6192052980132451,0.5789473684210527,0.5570698653567826,0.25030194933323346,,0.0224
4,"['R1d', 'R3d', 'R7d', 'R30d']",0.5480132450331126,0.5420289855072464,0.6192052980132451,0.5780525502318392,0.551971404762949,0.25046750068831497,,0.0225
3,"['Max_Rainfall_30day', 'R1d', 'R30d']",0.5463576158940397,0.5454545454545454,0.5562913907284768,0.5508196721311476,0.5767619841235033,0.24406413695184467,,0.0223
2,"['Max_Rainfall_30day', 'R30d']",0.5447019867549668,0.5428571428571428,0.5662251655629139,0.5542949756888168,0.5848646989167142,0.243006251049624,,0.0222
4,"['Max_Rainfall_3day', 'R3d', 'R7d', 'R30d']",0.5447019867549668,0.5398230088495575,0.6059602649006622,0.5709828393135725,0.5538572869610981,0.25062243733332135,,0.0229
5,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d', 'R30d']",0.5447019867549668,0.5425867507886435,0.5695364238410596,0.555735056542811,0.5741524494539713,0.2448420366688715,,0.0242
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R30d']",0.543046357615894,0.543046357615894,0.543046357615894,0.543046357615894,0.5786149730274989,0.24366594022139468,,0.0222
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R30d']",0.5413907284768212,0.5409836065573771,0.5463576158940397,0.5436573311367381,0.5763563001622737,0.24407041739279103,,0.0234
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R30d']",0.5397350993377483,0.5382165605095541,0.5596026490066225,0.5487012987012987,0.5751392482785842,0.24451732894743605,,0.0232
1,['R1d'],0.5380794701986755,0.5236139630390144,0.8443708609271523,0.6463878326996197,0.5372845489232929,0.25108359687013226,,0.0207
2,"['Max_Rainfall_3day', 'R30d']",0.5380794701986755,0.5318559556786704,0.6357615894039735,0.579185520361991,0.5415771238103592,0.25005307250720843,,0.0212
3,"['Max_Rainfall_30day', 'R3d', 'R30d']",0.5380794701986755,0.5374592833876222,0.5463576158940397,0.541871921182266,0.5763672645936582,0.24416146550987153,,0.0226
3,"['Max_Rainfall_3day', 'R7d', 'R30d']",0.5380794701986755,0.5347432024169184,0.5860927152317881,0.5592417061611374,0.562946800578922,0.24977724705515866,,0.0217
2,"['Max_Rainfall_3day', 'R3d']",0.5364238410596026,0.5270935960591133,0.7086092715231788,0.6045197740112994,0.5238311916144028,0.25082185922362576,,0.0226
4,"['Max_Rainfall_3day', 'R1d', 'R7d', 'R30d']",0.5347682119205298,0.530791788856305,0.5993377483443708,0.5629860031104199,0.5522893732731021,0.2501051223854244,,0.0223
5,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d', 'R30d']",0.5331125827814569,0.5285714285714286,0.6125827814569537,0.5674846625766872,0.5443182316565064,0.25083971882106476,,0.0235
1,['Max_Rainfall_3day'],0.5298013245033113,0.5228426395939086,0.6821192052980133,0.5919540229885057,0.5284033595017763,0.25012388928550067,,0.0211
3,"['Max_Rainfall_3day', 'R3d', 'R30d']",0.5298013245033113,0.5245901639344263,0.6357615894039735,0.5748502994011976,0.5329590807420728,0.2508984743994171,,0.022
1,['R3d'],0.5264900662251656,0.5199004975124378,0.6920529801324503,0.59375,0.5249934213411692,0.25054397441809084,,0.0207
2,"['R7d', 'R30d']",0.5231788079470199,0.5190217391304348,0.6324503311258278,0.5701492537313433,0.5273672207359327,0.25074768170829975,,0.0218
2,"['R3d', 'R30d']",0.5198675496688742,0.5162162162162162,0.6324503311258278,0.5684523809523809,0.5366869874128328,0.2505706389450975,,0.0214
2,"['R3d', 'R7d']",0.5198675496688742,0.5196078431372549,0.5264900662251656,0.5230263157894737,0.5360729792552958,0.25072173797985964,,0.0213
2,"['Max_Rainfall_3day', 'R7d']",0.5182119205298014,0.5176848874598071,0.5331125827814569,0.5252854812398042,0.5401627121617473,0.25028047029383654,,0.0218
