index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
284,22.37299919128418,0.0,0.0,0.0,848.6417846679688,29.645237962018225,22.37299919128418,0.0,0.0,0.0,848.6417846679688,29.645237962018225,-0.03462196370118374,0.009870348345580444,0.03173498768390774,0.007538353507880228,0.11577748127886153,0.16421531570653464,0.5014854771784234,0.29451452282158086,0.3637584502239483,0.796,1,0,0,2019-03-09 00:13:17,,2019-03-09 00:13:17,274460.87657231826,213216.70915068057,,,,NonLandslide,2017_2021,1672017.0,EWF
287,60.58000183105469,0.0,0.0,0.0,880.015869140625,26.342015331893492,60.58000183105469,0.0,0.0,0.0,880.015869140625,26.342015331893492,-0.1788413634743105,-0.020547283210637,0.0234556558893496,-0.031284676555867676,0.05015846853720781,0.08957372163583564,0.5014854771784234,-0.06748547717842214,0.39386116930320825,0.434,0,1,1,2008-10-22 00:00:00,2008-10-22,,312896.266000003,204623.284699999,Buncombe,{EB074877-BE10-4A0C-91EF-E04957FD0105},60619.0,Landslide,2005_2010,1672006.0,EDE
288,25.34000015258789,8.880000114440918,0.0,15.7020001411438,1780.9967041015625,39.66839802389351,25.34000015258789,8.880000114440918,0.0,15.7020001411438,1780.9967041015625,39.66839802389351,-0.0021207954700566273,-0.032074385287512525,0.033744670264295444,-0.036767007977077854,-0.009396261875406563,0.30112830316733663,0.5014854771784234,0.2545145228215785,0.41523142404168567,0.756,1,1,1,2004-05-12 00:00:00,2004-05-12 00:00:00,,309903.8178,224923.396499999,Buncombe,{6F97B6F9-0657-4E45-9D55-259520BB2965},57879.0,Landslide,1980_2021,1671975.0,BXF
290,81.80400085449219,81.80400085449219,81.80400085449219,99.32000064849854,802.3895874023438,28.60907335847452,81.80400085449219,81.80400085449219,81.80400085449219,99.32000064849854,802.3895874023438,28.60907335847452,-0.02762421269164235,-0.07373707510411658,-0.03591955220789765,-0.0293940266297217,0.01597447513267088,0.07321491432228634,0.5014854771784234,-0.07748547717842107,0.2558642560883355,0.424,0,1,1,2014-10-16 00:00:00,2014-10-16 00:00:00,,310560.06209074,215001.945029316,Buncombe,{AE6FA000-C7C3-4744-92D7-0E764FBDE15F},61241.0,Landslide,2011_2016,1672096.0,TPE
292,24.972999572753903,0.593999981880188,0.593999981880188,0.593999981880188,817.2256469726562,19.37176194020281,24.972999572753903,0.593999981880188,0.593999981880188,0.593999981880188,817.2256469726562,19.37176194020281,0.010596298595832726,-0.055590161824416194,0.02349176364788594,-0.04339374364837918,0.12177450619208888,-0.02836414014143339,0.5014854771784234,0.028514522821578778,0.28321061405003634,0.53,1,1,1,2008-10-29 00:00:00,2008-10-29,,309325.902800001,209349.170499999,Buncombe,{417BB890-09DD-40D8-AEFF-525B99D5FA1F},58775.0,Landslide,2005_2010,1672095.0,TPD
295,35.81700134277344,7.1020002365112305,7.1020002365112305,12.413000106811523,900.2361450195312,29.431909438576746,35.81700134277344,7.1020002365112305,7.1020002365112305,12.413000106811523,900.2361450195312,29.431909438576746,-0.011445271477733552,-0.0010499219769204106,-0.16183992928187518,-0.019477424450729763,0.016714453394703944,0.0996126166141355,0.5014854771784234,-0.07748547717841946,0.31013961719609834,0.424,0,1,1,2008-12-18 00:00:00,2008-12-18,,302944.310900003,231811.638799999,Buncombe,{A006AA0A-6B85-40BF-82B0-8DF8E5EEBC45},59241.0,Landslide,2005_2010,1672006.0,EDE
304,147.76300048828125,0.0,0.0,0.0,918.0001831054688,31.70901580976673,147.76300048828125,0.0,0.0,0.0,918.0001831054688,31.70901580976673,0.1485128786601549,0.04793720923522626,0.03241577150982227,0.03338903932357036,0.019797512889637204,0.17846211120317065,0.5014854771784234,0.4605145228215817,0.4605145228215817,0.962,1,1,1,2004-09-16 17:00:00,2004-09-16 17:00:00,,277020.884599999,210096.255199999,Buncombe,{1CC71DDD-A855-4EDB-A384-94990F1FB650},58071.0,Landslide,1980_2021,1672016.0,EWE
307,26.7810001373291,2.2100000381469727,2.2100000381469727,2.2100000381469727,707.4121704101562,13.296308681378203,26.7810001373291,2.2100000381469727,2.2100000381469727,2.2100000381469727,707.4121704101562,13.296308681378203,0.0022761806967271413,0.06594736696289685,-0.008634489374757153,0.10335301280628618,-0.08545266099948211,-0.12097488727008858,0.5014854771784234,-0.043485477178417664,0.38663859811023804,0.458,0,0,0,2017-06-14 08:05:46,,2017-06-14 08:05:46,277286.2135028819,207969.38373031624,,,,NonLandslide,2017_2021,1672016.0,EWE
314,13.123000144958496,9.630999565124512,9.630999565124512,9.630999565124512,1234.2890625,36.33007401526415,13.123000144958496,9.630999565124512,9.630999565124512,9.630999565124512,1234.2890625,36.33007401526415,0.009726674468778842,-0.04560139333176904,-0.08411649995450869,-0.03311058131629511,-0.046654846955887584,0.21227116991126527,0.5014854771784234,0.01251452282158369,0.4314811659385045,0.514,1,0,0,2019-04-01 02:02:01,,2019-04-01 02:02:01,267400.3094400747,210428.91915119064,,,,NonLandslide,2017_2021,1672006.0,EDE
317,17.688499450683594,6.182299613952637,6.182299613952637,7.466199636459351,664.1368408203125,5.1329254953470205,17.688499450683594,6.182299613952637,6.182299613952637,7.466199636459351,664.1368408203125,5.1329254953470205,-0.008746409956497194,0.0004409930310581374,-0.03973090295775801,0.00041859002090837555,-0.11960755355824557,-0.316260193757881,0.5014854771784234,-0.4834854771784153,0.4852046432823483,0.018,0,0,0,2021-02-08 13:20:27,,2021-02-08 13:20:27,292944.23445740616,207788.4155586159,,,,NonLandslide,2017_2021,1671992.0,CUB
