Map unit symbol,Map unit name,Rating (centimeters),Acres in AOI,Percent of AOI
TaC,"Tate loam, basin, 8 to 15 percent slopes",>200,"13,993.60",3.30%
TaD,"Tate loam, basin, 15 to 30 percent slopes",>200,"7,409.60",1.80%
TkC,"Tate loam, basin, 8 to 15 percent slopes, very stony",>200,731.2,0.20%
TkD,"Tate loam, basin, 15 to 30 percent slopes, very stony",>200,"2,759.60",0.70%
TmB,"Tate-Urban land complex, 2 to 8 percent slopes",>200,855.6,0.20%
TmC,"Tate-Urban land complex, 8 to 15 percent slopes",>200,"2,889.00",0.70%
TmD,"Tate-Urban land complex, 15 to 30 percent slopes",>200,712.6,0.20%
TnE,"Toecane very cobbly loam, 30 to 50 percent slopes, extremely bouldery",>200,963.9,0.20%
ToC,"Toecane-Tusquitee complex, 8 to 15 percent slopes, bouldery",>200,"3,074.40",0.70%
TpD,"Toecane-Tusquitee complex, 15 to 30 percent slopes, very bouldery",>200,"17,675.80",4.20%
TpE,"Toecane-Tusquitee complex, 30 to 50 percent slopes, very bouldery",>200,"19,600.20",4.60%
TsA,"Toxaway loam, 0 to 2 percent slopes, frequently flooded",>200,201.6,0.00%
TtE,"Trimont loam, 30 to 50 percent slopes, stony",>200,305.5,0.10%
TuD,"Tusquitee-Toecane complex, 15 to 30 percent slopes, stony",>200,579.4,0.10%
TwB,"Tusquitee-Whiteside complex, 2 to 8 percent slopes",>200,421,0.10%
TwC,"Tusquitee-Whiteside complex, 8 to 15 percent slopes",>200,984.6,0.20%
UcB,"Udifluvents, sandy, 0 to 5 percent slopes, frequently flooded",>200,28.5,0.00%
Ud,"Udorthents, loamy",>200,"3,229.90",0.80%
UfB,"Udorthents-Urban land complex, 0 to 5 percent slopes, occasionally flooded",>200,"1,697.90",0.40%
UhE,"Udorthents-Urban land complex, 2 to 50 percent slopes",>200,"8,879.10",2.10%
UkD,"Unaka-Rock outcrop complex, 15 to 30 percent slopes, very bouldery",69,251.3,0.10%
UkE,"Unaka-Rock outcrop complex, 30 to 50 percent slopes, very bouldery",69,"1,585.60",0.40%
UkF,"Unaka-Rock outcrop complex, 50 to 95 percent slopes, very bouldery",69,"5,088.70",1.20%
UnB,"Unison loam, 2 to 8 percent slopes",>200,758.5,0.20%
UnC,"Unison loam, 8 to 15 percent slopes",>200,956.2,0.20%
UnD,"Unison loam, 15 to 30 percent slopes",>200,120.9,0.00%
UrB,"Unison-Urban land complex, 2 to 8 percent slopes",>200,188.2,0.00%
UrC,"Unison-Urban land complex, 8 to 15 percent slopes",>200,119.6,0.00%
Ux,Urban land,>200,"4,696.50",1.10%
W,Water,>200,"2,964.40",0.70%
WaC2,"Walnut-Oteen-Mars hill complex, 8 to 15 percent slopes, moderately eroded",68,560.6,0.10%
WaD2,"Walnut-Oteen-Mars hill complex, 15 to 30 percent slopes, moderately eroded",68,"2,042.30",0.50%
WaE2,"Walnut-Oteen-Mars hill complex, 30 to 50 percent slopes, moderately eroded",68,"2,890.70",0.70%
WnF,"Walnut-Oteen-Rock outcrop complex, 50 to 95 percent slopes",68,904.6,0.20%
WoE,"Wayah-Burton complex, 30 to 50 percent slopes, bouldery",>200,118.6,0.00%
WpF,"Wayah-Burton complex, 50 to 95 percent slopes, very rocky",>200,667.7,0.20%
WrC,"Wayah-Burton complex, windswept, 8 to 15 percent slopes, bouldery",>200,26.4,0.00%
WrD,"Wayah-Burton complex, windswept, 15 to 30 percent slopes, bouldery",>200,333.3,0.10%
WrE,"Wayah-Burton complex, windswept, 30 to 50 percent slopes, bouldery",>200,668.1,0.20%
WsF,"Wayah-Burton complex, windswept, 50 to 95 percent slopes, very rocky",>200,505.8,0.10%
WtB,"Whiteside loam, 2 to 8 percent slopes",>200,227.3,0.10%
WtC,"Whiteside loam, 8 to 15 percent slopes",>200,270.3,0.10%
ZcB,"Zillicoa loam, 2 to 8 percent slopes",122,7.1,0.00%
ZcC,"Zillicoa loam, 8 to 15 percent slopes",122,128.2,0.00%
ZoD,"Zillicoa loam, 15 to 30 percent slopes, stony",122,372.4,0.10%
