index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,raw_Soil_Depth_Deep200_Flag,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,x_Soil_Depth_Deep200_Flag,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,shap_Soil_Depth_Deep200_Flag,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
342,21.872699737548828,9.43299961090088,0.363099992275238,15.918099343776705,652.814697265625,15.950670821222811,1.0,21.872699737548828,9.43299961090088,0.363099992275238,15.918099343776705,652.814697265625,15.950670821222811,1.0,-0.07506695294230556,-0.00294535883041475,0.018971394094371503,-0.011073070380056373,-0.08987077938140217,-0.1004667062772617,0.00296599653864873,0.5014854771784234,-0.25748547717842035,0.3013602584444608,0.244,0,0,0,2021-02-16 23:35:10,,2021-02-16 23:35:10,274434.9566113146,218518.15047214457,,,,NonLandslide,2017_2021,1671984.0,CKD2
349,30.224000930786133,6.664000034332275,0.0,11.124000072479248,678.8069458007812,5.15562695095643,1.0,30.224000930786133,6.664000034332275,0.0,11.124000072479248,678.8069458007812,5.15562695095643,1.0,-0.014225957633343295,0.020028532371803864,0.015838043839640874,0.009368907587569102,-0.07799378167519158,-0.33491633065692494,0.00241510898802564,0.5014854771784234,-0.3794854771784203,0.4747866627524993,0.122,0,0,0,2020-12-19 02:33:56,,2020-12-19 02:33:56,295472.7389426399,197234.64646989873,,,,NonLandslide,2017_2021,1672085.0,TAC
351,5.583000183105469,1.968000054359436,0.0,1.971000054385513,794.6102294921875,26.273708374446027,1.0,5.583000183105469,1.968000054359436,0.0,1.971000054385513,794.6102294921875,26.273708374446027,1.0,-0.006735621140233438,0.0756551647445273,0.04263958312482802,0.07250982689421956,0.07654314461015785,0.13188008633895815,0.010022338249122244,0.5014854771784234,0.4025145228215797,0.41598576510204655,0.904,1,1,1,2008-08-20 00:00:00,2008-08-20,,270001.5929,213416.250599999,Buncombe,{5D47C727-F3CF-4B50-AFAE-D6F0E1970229},59242.0,Landslide,2005_2010,1672006.0,EDE
356,43.124000549316406,0.0,0.0,0.0,670.5162963867188,6.257018234566741,1.0,43.124000549316406,0.0,0.0,0.0,670.5162963867188,6.257018234566741,1.0,-0.03166275991414609,-0.03483255531649766,0.0003458705415195747,-0.0526218636817163,-0.09563598342371946,-0.28784668290230286,0.0007684975184431308,0.5014854771784234,-0.5014854771784197,0.5037142132983451,0.0,0,0,0,2020-10-21 01:55:08,,2020-10-21 01:55:08,294611.1845791601,210389.21022478509,,,,NonLandslide,2017_2021,1671991.0,CUD
368,24.24799919128418,2.9560000896453857,2.9560000896453857,4.171000123023987,722.1024169921875,32.55363824415285,1.0,24.24799919128418,2.9560000896453857,2.9560000896453857,4.171000123023987,722.1024169921875,32.55363824415285,1.0,0.031010615657302745,0.055052672138681036,-0.0028973982508630645,0.03198244657442326,-0.045682957703155135,0.2651735846039391,0.00987555980125002,0.5014854771784234,0.34451452282157796,0.4416752347296144,0.846,1,1,1,2007-04-03 00:00:00,2007-04-03,,314992.579800002,200039.581799999,Buncombe,{D06E3DF3-FB58-4414-BC60-26FDD6DDB478},59133.0,Landslide,2005_2010,1672006.0,EDE
373,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,755.9140014648438,33.84215713135572,1.0,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,755.9140014648438,33.84215713135572,1.0,0.0359283036789905,0.04276325940751961,0.0619935187444278,0.04013439436102212,0.09240233977474002,0.20530110610094437,0.009991600753936533,0.5014854771784234,0.4885145228215809,0.4885145228215809,0.99,1,1,1,2008-02-29 00:00:00,2008-02-29,,269967.997299999,213194.149700001,Buncombe,{FF46422A-956C-4778-8B59-78706535037F},58203.0,Landslide,2005_2010,1672007.0,EDF
374,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,951.2581176757812,16.486059329297305,1.0,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,951.2581176757812,16.486059329297305,1.0,-0.018808890297319848,0.013977999951105283,-0.05950886544860427,-0.014297312295981716,0.04022321950439092,-0.07411411170513732,0.005042483113124211,0.5014854771784234,-0.10748547717842274,0.2259728823156636,0.394,0,1,1,2008-06-30 00:00:00,2008-06-30,,300484.553300001,233787.068399999,Buncombe,{01504657-3D84-47CA-9E99-240B6418D800},59526.0,Landslide,2005_2010,1672009.0,EVD2
381,11.562000274658203,4.110000133514404,2.690000057220459,6.800000190734863,1230.0377197265625,29.52224543375605,0.0,11.562000274658203,4.110000133514404,2.690000057220459,6.800000190734863,1230.0377197265625,29.52224543375605,0.0,0.005612759383414285,0.036626096238301875,-0.01923718481782582,0.03548795572742387,-0.041726249947217464,0.12791140787240715,-0.008160261634925219,0.5014854771784234,0.13651452282157867,0.2747619156215157,0.638,1,0,0,2019-10-10 14:32:17,,2019-10-10 14:32:17,297904.6456346985,218171.543490611,,,,NonLandslide,2017_2021,1672069.0,RKF
382,30.53769874572754,0.4389999806880951,0.4389999806880951,0.4389999806880951,616.5537109375,0.0,1.0,30.53769874572754,0.4389999806880951,0.4389999806880951,0.4389999806880951,616.5537109375,0.0,1.0,-0.010552483308861788,-0.033870569994499125,0.012451644173534613,-0.055850848950140065,-0.07015633725872676,-0.28302828996095597,0.0015214081212285482,0.5014854771784234,-0.43948547717842057,0.46743158176794686,0.062,0,0,0,2021-08-02 17:09:48,,2021-08-02 17:09:48,287308.5707679151,203496.40727298308,,,,NonLandslide,2017_2021,1672204.0,W
383,32.594600677490234,4.8414998054504395,4.8414998054504395,10.992099523544312,646.1723022460938,1.073006427627071,1.0,32.594600677490234,4.8414998054504395,4.8414998054504395,10.992099523544312,646.1723022460938,1.073006427627071,1.0,-0.004002281961627899,0.0020051643816552805,-0.037063001934817943,-0.00036789796490582696,-0.08988042365284864,-0.2905735415724681,0.0023965055265938134,0.5014854771784234,-0.41748547717841933,0.42628881699491755,0.084,0,0,0,2021-07-11 14:27:59,,2021-07-11 14:27:59,296768.4878471714,196040.35364425677,,,,NonLandslide,2017_2021,1672029.0,HPA
